algorithm,array_type,n,avg_time_us,avg_char_comparisons
TernaryQuickSort,almost,2900,9468.85,119235
StringMergeSort,almost,2900,119.944,13667
MSDRadixSort,almost,2900,1638.68,6960
MSBRadixSort,almost,2900,5354.04,78699
quickSort,random,3000,228.153,102621
mergeSort,random,3000,269.861,44500
TernaryQuickSort,random,3000,6469.29,61783
StringMergeSort,random,3000,240.847,27994
MSDRadixSort,random,3000,1750,7247
MSBRadixSort,random,3000,2892.53,28245
quickSort,reverse,3000,158.43,109993
mergeSort,reverse,3000,163.667,25748
TernaryQuickSort,reverse,3000,24439.3,171561
StringMergeSort,reverse,3000,108.611,11035
MSDRadixSort,reverse,3000,1833.71,7253
MSBRadixSort,reverse,3000,6906.32,56555
quickSort,almost,3000,237.805,171953
mergeSort,almost,3000,180.611,38089
TernaryQuickSort,almost,3000,9499.35,121052
StringMergeSort,almost,3000,152.097,14185
MSDRadixSort,almost,3000,1838.4,7244
MSBRadixSort,almost,3000,5875.86,83474
